title,translated_title,year,release_date,country,language,runtime,director,writer,actors,genre,rating,imdb_rating,imdb_link,douban_link,poster_url,description,awards,screenshots
疯狂动物城2 WEB-DL版下载/动物乌托邦2 / 优兽大都会2(港) / 动物方城市2(台) / Zootopia 2: Rise of the Non-Mammalians / Zootropolis 2 2025 Zootopia 2 15.3G,疯狂动物城2/动物乌托邦2 / 优兽大都会2(港) / 动物方城市2(台) / Zootopia 2: Rise of the Non-Mammalians / Zootropolis 2,2025,2025-11-26,美国,英语,108分钟,杰拉德·布什 / 拜伦·霍华德,杰拉德·布什,金妮弗·古德温 / 杰森·贝特曼 / 关继威 / 福琼·费姆斯特 / 安迪·萨姆伯格 / 大卫·斯特雷泽恩 / 夏奇拉 / 伊德瑞斯·艾尔巴 / 帕特里克·沃伯顿 / 昆塔·布伦森 / 丹尼·特雷霍 / 艾伦·图代克 / 内特·托伦斯 / 唐·雷克 / 邦妮·亨特 / 珍妮·斯蕾特 / 麦考利·卡尔金 / 布兰达·宋 / 莫里斯·拉马奇 / 莉亚·莱瑟姆 / 雷蒙德·S·佩尔西 / 马克·史密斯 / 汤米·利斯特 / 让·雷诺 / 塞西莉·斯特朗 / 朱恩·斯奎布 / 米歇尔·戈麦兹 / 戴维·法恩 / 约翰·雷吉扎莫 / 汤米·钟 / 罗伯特·欧文 / 道恩·强森 / 奥丽伊·卡瓦洛 / 艾德·希兰 / 乔什·加德 / 斯蒂芬妮·比翠丝 / 迈克尔·J·福克斯 / 乔希·达拉斯 / 彼得·曼斯布里奇 / 伊薇特·尼科尔·布朗 / 布莱克·斯拉特金 / 维尔摩·瓦尔德拉玛 / 瑞切尔·豪斯 / 阿尼卡·诺尼·罗斯 / 拜伦·霍华德 / 杰拉德·布什 / 大卫·万蒂勒,喜剧 / 动画 / 悬疑 / 犯罪 / 冒险,8.4,7.5,https://www.imdb.com/title/tt26443597/,https://movie.douban.com/subject/26817136/,https://s44.playwoool.com/wp-content/uploads/2026/01/p2925664632.webp,一个神秘爬行动物的到来，把温馨的动物城搅动得天翻地覆。面对全新的城市危机，警官兔朱迪（金妮弗·古德温 Ginnifer Goodwin 配音）与狐尼克（杰森·贝特曼 Jason Bateman 配音）将继续携手为保卫动物城而奔波。在追捕行动中，这对老搭档不仅要揭开新角色的神秘面纱，还要前往被迷雾笼罩的新领域，探索未知的地下黑市，一场疯狂动物城的全新冒险即将展开……,"第98届奥斯卡金像奖 (2026)
最佳动画长片(提名)
第83届金球奖 (2026)
电影类 最佳动画长片(提名)
电影类 电影和票房成就奖(提名)
第79届英国电影学院奖 (2026)
电影奖 最佳动画片(提名)
电影奖 最佳儿童/家庭片(提名)
第31届美国评论家选择电影奖 (2026)
最佳动画片(提名)",
蓝月亮 WEB-DL版下载/蓝月终曲(台) 2025 Blue Moon 17.73G,蓝月亮/蓝月终曲(台),2025,2025-02-18,美国 / 爱尔兰,英语,112分钟,乔·卡纳汉,乔·卡纳汉 / 迈克尔·麦克格雷,马特·达蒙 / 本·阿弗莱克 / 史蒂文·元 / 缇雅娜·泰勒 / 卡塔琳娜·桑地诺·莫雷诺 / 萨莎·卡莱 / 凯尔·钱德勒 / 斯科特·阿金斯 / 辻大介 / 内斯特·卡博内尔 / 琳娜·埃斯科 / 亚历克斯·埃尔南德斯 / 克里夫·张伯伦 / 何塞·巴勃罗·坎蒂略 / 马可·莫拉莱斯 / 索尔·洛佩斯 / 小安杰尔·罗萨里奥 / Jayson Merrill / Rani Balsamo / John P. Brady,剧情 / 音乐 / 传记,6.7,6.9,https://www.imdb.com/title/tt32536315/,https://movie.douban.com/subject/36913754/,https://s44.playwoool.com/wp-content/uploads/2026/01/p2917820619.webp,劳伦兹曾是百老汇作词家第一把交椅，却在与理查德拆伙后事业跌落低谷。前搭档新作的首演之夜，他故作大方献上祝福，新仇旧恨交织下，终究不欢而散；他转向忘年好友伊丽莎白寻找慰藉，又不禁怀疑友达以上的关系是否只是自作多情。偌大派对就像如今的百老汇，早已没他的容身之处。过了今晚，美国音乐剧的黄金年代就要展开，他的盛世却再也回不来，当最后一曲〈蓝月〉响起，即便成了终曲，也要忘情歌颂。,"第98届奥斯卡金像奖 (2026)
最佳男主角(提名) 伊桑·霍克
最佳原创剧本(提名) 罗伯特·卡普洛
第75届柏林国际电影节 (2025)
主竞赛单元 金熊奖(提名) 理查德·林克莱特
银熊奖 最佳配角奖 安德鲁·斯科特
第83届金球奖 (2026)
电影类 最佳音乐/喜剧片(提名)
电影类 音乐/喜剧片最佳男主角(提名) 伊桑·霍克
第79届英国电影学院奖 (2026)
电影奖 最佳男主角(提名) 伊桑·霍克
电影奖 最佳男配角(提名) 安德鲁·斯科特
电影奖 最佳原创剧本(提名)
第32届美国演员奖 (2026)
电影奖 最佳男主角(提名) 伊桑·霍克
第31届美国评论家选择电影奖 (2026)
最佳男主角(提名) 伊桑·霍克
第35届哥谭独立电影奖 (2025)
哥谭奖 最佳主角演出(提名) 伊桑·霍克
哥谭奖 最佳配角演出(提名) 安德鲁·斯科特
第60届美国国家影评人协会奖 (2026)
最佳导演(提名) 理查德·林克莱特
最佳男主角 伊桑·霍克
最佳剧本(提名) 罗伯特·卡普洛",
密探 蓝光原盘下载/这不只是个间谍故事(台) / L’Agent secret / ​The Secret Agent 2025 O Agente Secreto 73.67G,密探/这不只是个间谍故事(台) / L’Agent secret / ​The Secret Agent 2025 O Agente Secreto,2025,2025-05-18,巴西 / 法国 / 荷兰 / 德国,葡萄牙语 / 德语 / 英语,161分钟,小克莱伯·门多萨,小克莱伯·门多萨,瓦格纳·马拉 / 乌多·基尔 / 加布里埃尔·利昂纳 / 马丽娅·费尔南达·康基多 / 艾米拉·盖德斯 / 爱丽丝·卡瓦略 / 托马斯·阿基诺 / 伊萨贝尔·祖拉 / 苏茜·洛佩斯 / 若昂·维托尔·席尔瓦 / 罗尼·韦列拉 / 鲁本斯·桑托斯 / 卢西亚诺·基罗利 / 布达·里拉 / 吉米·阿斯特利 / 罗贝里奥·迪奥热内斯 / 伊戈尔·德·阿劳若 / 塔尼娅·玛丽亚 / 劳拉·卢费西 / 吉安妮·阿尔布开克,剧情 / 悬疑 / 惊悚 / 犯罪,7.8,7.8,https://www.imdb.com/title/tt27847051/,https://movie.douban.com/subject/36697078/,https://s44.playwoool.com/wp-content/uploads/2026/01/p2928976683.webp,1977年，在被军事独裁统治折磨的巴西，四十多岁的马塞洛逃离了他混乱的过去，来到累西腓，希望在这里建立新的生活并与家人重修旧好。然而，他并未料到死亡威胁如影随形，笼罩在他的头顶。,"第98届奥斯卡金像奖 (2026)
最佳影片(提名)
最佳男主角(提名) 瓦格纳·马拉
最佳选角(提名) 加布里埃尔·多明戈斯
最佳国际影片(提名)
第78届戛纳电影节 (2025)
主竞赛单元 金棕榈奖(提名) 小克莱伯·门多萨
主竞赛单元 最佳导演 小克莱伯·门多萨
主竞赛单元 最佳男演员 瓦格纳·马拉
费比西奖 竞赛单元奖 小克莱伯·门多萨
第83届金球奖 (2026)
电影类 最佳剧情片(提名)
电影类 剧情片最佳男主角 瓦格纳·马拉
电影类 最佳非英语片
第79届英国电影学院奖 (2026)
电影奖 最佳原创剧本(提名)
电影奖 最佳非英语片(提名)
第97届美国国家评论协会奖 (2025)
五佳外语片
第31届美国评论家选择电影奖 (2026)
最佳男主角(提名) 瓦格纳·马拉
最佳外语片
第41届美国独立精神奖 (2026)
电影奖 最佳国际电影(提名)
第35届哥谭独立电影奖 (2025)
哥谭奖 最佳原创剧本(提名) 小克莱伯·门多萨 / 路易丝·彼得
哥谭奖 最佳主角演出(提名) 瓦格纳·马拉
第60届美国国家影评人协会奖 (2026)
最佳影片(提名)
最佳男主角(提名) 瓦格纳·马拉
最佳剧本(提名) 小克莱伯·门多萨
最佳外语片
第9届平遥国际电影展 (2025)
首映单元最受欢迎影片 小克莱伯·门多萨",
望向太阳 蓝光原盘下载/坠落之声 / 坠落的声音 / 医生说我没事，可我感到难过 / 听见坠落之声(台) / The Doctor Says I’ll Be Alright But I’m Feeling Blue / Sound of Falling 2025 In die Sonne schauen 35.6G,望向太阳/坠落之声 / 坠落的声音 / 医生说我没事，可我感到难过 / 听见坠落之声(台) / The Doctor Says I’ll Be Alright But I’m Feeling Blue / Sound of Falling,2025,2025-05-14,德国,德语,149分钟,玛莎·施林斯基,路易丝·彼得 / 玛莎·施林斯基,路易斯·海耶尔 / 菲利普·施纳克 / 莉亚·德林达 / 苏珊娜·伍艾斯特 / 莱娜·乌泽多夫斯基 / 卢齐亚·奥珀尔曼 / 卢卡斯·普莱瑟 / 康斯坦丁·林德霍斯特 / 戈德·贝内迪克斯 / 马丁·罗瑟 / 汉娜·海克特 / 芭尔贝尔·施瓦茨 / 弗洛里安·盖塞尔曼,剧情,6.6,7.1,https://www.imdb.com/title/tt28690468/,https://movie.douban.com/subject/36678301/,https://s44.playwoool.com/wp-content/uploads/2026/01/p2921542936.webp,Alma、Erika、Angelika和Lenka四位少女——各自在同一座德国北部农庄度过青春岁月。这座宅邸历经百年沧桑，斑驳墙垣间萦绕着往昔的回响。虽身处不同时空，她们的命运轨迹却产生了奇妙的交叠呼应。,"第78届戛纳电影节 (2025)
主竞赛单元 金棕榈奖(提名) 玛莎·施林斯基
主竞赛单元 评审团奖 玛莎·施林斯基
第38届欧洲电影奖 (2025)
最佳影片(提名) 玛莎·施林斯基
最佳导演(提名) 玛莎·施林斯基
最佳编剧(提名) 玛莎·施林斯基 / 路易丝·彼得
最佳摄影(提名) 法比安·甘珀
最佳配乐(提名)
最佳选角导演(提名)
最佳服装设计
最佳妆发(提名)
第28届英国独立电影奖 (2025)
最佳外国独立电影(提名)
第35届哥谭独立电影奖 (2025)
哥谭奖 最佳原创剧本(提名) 玛莎·施林斯基
哥谭奖 最佳国际影片(提名) 卢卡斯·施密特 / 马伦·施密特",
科隆女孩 蓝光原盘下载/The Girl from Köln / 抢救科隆音乐会(台) 2025 Köln 75 24.42G,科隆女孩/The Girl from Köln / 抢救科隆音乐会(台),2025,2025-02-16,德国 / 波兰 / 比利时,德语 / 英语,112分钟,伊多·弗卢克,伊多·弗卢克,玛拉·昂德 / 约翰·马加罗 / 亚历山大·谢尔 / 乌尔里希·图库尔 / 耶迪斯·特里贝尔 / 苏珊·沃尔夫 / Shirin Lilly Eissa / 玛丽-卢·塞勒姆 / Leo Meier / 丹尼尔·贝茨 / Leon Blohm / Vera Brandes / 迈克尔·切鲁斯 / 朱利叶斯·费梅尔 / Nils Hohenhövel / 克里·约翰逊 / Patrick Joswig / 尼科莱·金斯基 / 尤韦·普罗伊斯 / 于尔根·里斯曼,剧情 / 音乐,7.0,7.2,https://www.imdb.com/title/tt20414360/,https://movie.douban.com/subject/36217989/,https://s44.playwoool.com/wp-content/uploads/2026/01/p2917998631.webp,维拉·布兰德斯的真实故事，这位1970年代科隆音乐场景的青少年守护神，为了组织历史上最伟大的独奏爵士音乐会——基思· 贾勒特传奇性的《科隆音乐会》，不惜冒险牺牲一切。 标签：剧情 小语种 音乐 -本片字幕下载请点这里- 全部磁力链 4K 蓝光原盘 蓝光高清 WEB-DL 字 幕 [无损音乐1T] [美剧蓝光32T] [观影APP] [115网盘优惠充值] WEB-1080P 12.23GB Koln.75.2025.1080p.WEB-DL.H264.AC3-AOC Remux 24.42GB Koln.75.2025.Hybrid.1080p.BluRay.REMUX.AVC.DTS-HD.MA.5.1-BLURANiUM WEB-1080P 12.23GB Koln.75.2025.1080p.WEB-DL.H264.AC3-AOC 字 幕 https://www.samfunny.com/download/index.php?id=36217989 Copyright ©2021 音范丝|影音集 内容均采集自互联网，若侵犯您的权益请联系fanyun866#gmail.com，我们将尽快处理。 高清常识 常见问题 蓝光播放工具 点点字幕 布雷克影院 币圈中文攻略 银河碟屋 登录,,
全信没收 WEB-DL版下载/The RIP / 安息 2026 The Rip 15.67G,全信没收/The RIP / 安息,2025,2026-01-16,美国,英语,112分钟,乔·卡纳汉,乔·卡纳汉 / 迈克尔·麦克格雷,马特·达蒙 / 本·阿弗莱克 / 史蒂文·元 / 缇雅娜·泰勒 / 卡塔琳娜·桑地诺·莫雷诺 / 萨莎·卡莱 / 凯尔·钱德勒 / 斯科特·阿金斯 / 辻大介 / 内斯特·卡博内尔 / 琳娜·埃斯科 / 亚历克斯·埃尔南德斯 / 克里夫·张伯伦 / 何塞·巴勃罗·坎蒂略 / 马可·莫拉莱斯 / 索尔·洛佩斯 / 小安杰尔·罗萨里奥 / Jayson Merrill / Rani Balsamo / John P. Brady,剧情 / 动作 / 悬疑 / 惊悚 / 犯罪,6.7,6.9,https://www.imdb.com/title/tt32642706/,https://movie.douban.com/subject/36932394/,https://s44.playwoool.com/wp-content/uploads/2026/01/p2925091095.webp,一群迈阿密警察在一间废弃的藏身屋发现数百万现钞，彼此之间的信任开始瓦解。随着外部人士得知充公金额如此可观，一切变得疑点重重，到底还剩下什么可以相信？又有谁依然值得信赖？ 标签：剧情 动作 悬疑 惊悚 犯罪 -本片字幕下载请点这里- 全部磁力链 4K 蓝光原盘 蓝光高清 WEB-DL 字 幕 [无损音乐1T] [美剧蓝光32T] [观影APP] [115网盘优惠充值] 1080P 在线观看 直接高品质在线观看《全信没收 The Rip》 4K 15.67GB The.Rip.2026.2160p.NF.WEB-DL.DDP5.1.Atmos.DV.HDR.H.265-MJOLNiR WEB-1080P 5.43GB The.Rip.2026.1080p.NF.WEB-DL.DDP5.1.H.264-EniaHD.mkv WEB-1080P 4.43GB The.Rip.2026.1080p.NF.WEB-DL.DDP5.1.Atmos.H.264-TEEFA.mkv 字 幕 https://www.samfunny.com/download/index.php?id=36932394 Copyright ©2021 音范丝|影音集 内容均采集自互联网，若侵犯您的权益请联系fanyun866#gmail.com，我们将尽快处理。 高清常识 常见问题 蓝光播放工具 点点字幕 布雷克影院 币圈中文攻略 银河碟屋 登录,,
二十二圈 蓝光高清MKV版 2025 22 Bahnen 16.96G,二十二圈,2025,2025-09-04,德国,德语,102分钟,米娅·玛瑞尔·梅耶,Elena Hell / Caroline Wahl,扬尼斯·尼韦纳 / 卢娜·韦德勒 / 劳拉·汤克 / Sabrina Schieder / Luis Pintsch / Zoë Baier / Berke Cetin / Ercan Karacayli / 基姆·吉尔施内尔 / Hannah-Chioma Ekezie,剧情,22,7.0,https://www.imdb.com/title/tt32433627/,https://movie.douban.com/subject/37191037/,https://s44.playwoool.com/wp-content/uploads/2026/01/p2924897948.webp,蒂尔达是一名有数学天赋的学生，她的日子安排得十分紧凑：学习、收银、游泳、照顾10岁的妹妹艾达。因母亲酗酒、父亲不在身边，生活不如同龄人轻松。她们三人住在一个小镇里，她的朋友们早已离开这个小镇，住在阿姆斯特丹或柏林，只有蒂尔达留了下来，因为必须有人照顾艾达，赚钱，承担责任。 然而有一天，事情有了转机：一位善良的教授鼓励蒂尔达申请去柏林读博，一个充满自由希望的未来展现在眼前。这时，维克多出现了，他是伊万的哥哥。维克多和她一样，每天会在当地泳池游22个来回，以此掌控自己的生活。 但就在蒂尔达几乎相信一切都会变好的时候，家里的情况却完全失控了…… 标签：剧情 小语种 -本片字幕下载请点这里- 全部磁力链 4K 蓝光原盘 蓝光高清 WEB-DL 字 幕 [无损音乐1T] [美剧蓝光32T] [观影APP] [115网盘优惠充值] 1080P 16.96GB 22.Bahnen.2025.1080P.BLURAY.X264-WATCHABLE 1080P 16.96GB 22.Bahnen.2025.1080P.BLURAY.X264-WATCHABLE 字 幕 https://www.samfunny.com/download/index.php?id=37191037 Copyright ©2021 音范丝|影音集 内容均采集自互联网，若侵犯您的权益请联系fanyun866#gmail.com，我们将尽快处理。 高清常识 常见问题 蓝光播放工具 点点字幕 布雷克影院 币圈中文攻略 银河碟屋 登录,,
最后的维京人 蓝光原盘下载/The Last Viking / 重返现实 2025 Den sidste viking 24.91G,最后的维京人/The Last Viking / 重返现实,2025,2025-08-29,丹麦,丹麦语,116分钟,安诺斯·托马斯·延森,安诺斯·托马斯·延森,麦斯·米科尔森 / 尼古拉·雷·卡斯 / 拉斯·兰特 / 苏菲·格拉宝 / 卡尔多·拉扎齐 / 拉尔斯·博格曼 / 索伦·莫灵 / 尼可拉斯·布若 / 波笛·约根森 / 安妮特·斯托维尔拜克 / 丽克·路易丝·安德森 / Klaus Søndergaard / 莉拉·诺贝尔 / Susanne Breuning / Bue Wandahl / Peter Düring / Alfred Røssel Læsø / Nomi Bodnia / Joel Hesse Johansen,剧情 / 喜剧,7.2,7.3,https://www.imdb.com/title/tt27817389/,https://movie.douban.com/subject/36416363/,https://s44.playwoool.com/wp-content/uploads/2026/01/p2922330086.webp,这部犯罪喜剧片讲述刚出狱的劫匪安可，联手因童年创伤分裂出失忆人格的弟弟曼弗雷德，共赴童年老宅掘地三尺——既要挖出当年埋藏的赃款，更欲掘开尘封记忆的潘多拉魔盒。,"第38届欧洲电影奖 (2025)
最佳男主角(提名) 麦斯·米科尔森",
万千所爱 WEB-DL版下载 2024 All That We Love 6.04G,万千所爱,2024,2024-06-08,美国,英语,90分钟,陈俊彦,陈俊彦 / 克雷·里福特,米西·派勒 / 肯尼斯·崔 / 戴文·博斯蒂克 / 杰西·泰勒·弗格森 / 赵牡丹 / 爱丽丝·李 / 阿什利·斯皮尔斯 / Marcus DeAnda / 贝琪·贝克 / 希瑟·卡夫卡 / 冈冢敦子 / 多米尼克·哥伦布 / Joe Souza / 尼古拉斯·萨恩兹 / 蒂姆·胡勃尔 / Eric Womack,剧情,2024,7.7,https://www.imdb.com/title/tt10730122/,https://movie.douban.com/subject/36671507/,https://s44.playwoool.com/wp-content/uploads/2026/01/sWlScBR9BwfPACLEMBBjmiQIIVx.webp,在失去了心爱的狗狗后，艾玛·权踏上了一段温暖人心的自我发现与亲情重拾之旅。这是颜丹（Yen Tan）执导的一部感人的温情喜剧，颂扬了人生第二次机会的珍贵与家庭纽带的强大力量。 标签：剧情 -本片字幕下载请点这里- 全部磁力链 4K 蓝光原盘 蓝光高清 WEB-DL 字 幕 [无损音乐1T] [美剧蓝光32T] [观影APP] [115网盘优惠充值] WEB-1080P 6.04GB All.That.We.Love.2024.1080p.AMZN.WEB-DL.DD.5.1.H.264-playWEB WEB-1080P 6.04GB All.That.We.Love.2024.1080p.AMZN.WEB-DL.DD.5.1.H.264-playWEB 字 幕 https://www.samfunny.com/download/index.php?id=36671507 Copyright ©2021 音范丝|影音集 内容均采集自互联网，若侵犯您的权益请联系fanyun866#gmail.com，我们将尽快处理。 高清常识 常见问题 蓝光播放工具 点点字幕 布雷克影院 币圈中文攻略 银河碟屋 登录,,
重建 WEB-DL版下载/Dusty Roads 2025 Rebuilding 10.45G,重建/Dusty Roads,2025,2025-01-26,美国,英语,95分钟,马克斯·沃克-西尔弗曼,马克斯·沃克-西尔弗曼,乔什·奥康纳 / 莉莉·拉托瑞 / 梅格翰·法伊 / 埃米·马迪根 / 卡莉·瑞斯 / 杰弗森·梅斯 / Jules Reid / Binky Griptite / Nancy Morlan / Sam Engbring,剧情,6.8,7.0,https://www.imdb.com/title/tt29361963/,https://movie.douban.com/subject/36498805/,https://s44.playwoool.com/wp-content/uploads/2026/01/p2928993745.webp,一场野火吞噬了家族世代相传的牧场，牛仔达斯迪最终落脚于美国西部广袤大地上的一处小型联邦应急管理局安置营。作为家族最后一代牧场主，他困在土地的遗产与变迁之间，进退两难。 然而，他开始重新与年幼的女儿卡莉·罗斯、前妻鲁比建立联系，最终也走进了那个自己从未主动选择的周边社群——这里的人们都和他一样，失去了家园。他们一同在不经意间组建起一个社群，或许在这片荒芜之地，还能寻得希望、美好与未来。,"第59届卡罗维发利国际电影节 (2025)
水晶地球仪奖 最佳影片(提名) 马克斯·沃克-西尔弗曼
第97届美国国家评论协会奖 (2025)
十佳独立电影
第41届美国独立精神奖 (2026)
电影奖 最佳配角(提名) 卡莉·瑞斯
第9届平遥国际电影展 (2025)
罗伯托·罗西里尼荣誉最佳影片(提名) 马克斯·沃克-西尔弗曼",
