title,translated_title,year,release_date,country,language,runtime,director,writer,actors,genre,rating,imdb_rating,imdb_link,douban_link,poster_url,description,awards,screenshots
隔壁房间 WEB-DL版下载/ 隔壁的房间(台) / 邻人之爱 2024 The Room Next Door 5.29GB,隔壁房间 / 隔壁的房间(台) / 邻人之爱,2024,2024-12-20,西班牙,英语,,佩德罗·阿莫多瓦 Pedro Almodóvar,佩德罗·阿莫多瓦 Pedro Almodóvar,朱丽安·摩尔 Julianne Moore,剧情,7.7,7,https://www.imdb.com/title/tt29439114/,https://movie.douban.com/subject/36687720/,https://s44.playwoool.com/wp-content/uploads/2025/01/p2911534490.webp,英格丽（朱丽安·摩尔 Julianne Moore 饰）和玛莎（蒂尔达·斯文顿 Tilda Swinton 饰）年轻时是好朋友，她们曾在同一家杂志社工作。后来英格丽成为了一名小说家，而玛莎成为了一名战地记者，她们渐行渐远。失联多年后，她们重新开始了联系。,"第81届威尼斯电影节  (2024)
主竞赛单元金狮奖 佩德罗·阿莫多瓦
布赖恩奖 佩德罗·阿莫多瓦
第82届金球奖  (2025)
电影类剧情片最佳女主角(提名) 蒂尔达·斯文顿
第37届欧洲电影奖  (2024)
最佳影片(提名) 埃丝特·加西亚 / 阿古斯丁·阿莫多瓦 / 佩德罗·阿莫多瓦
最佳导演(提名) 佩德罗·阿莫多瓦
最佳女主角(提名) 蒂尔达·斯文顿
最佳编剧(提名) 佩德罗·阿莫多瓦",
村戏 WEB-DL版下载/Bangzi Melody 2017 村戏 13.9G,村戏/Bangzi Melody,2017,2017-06-16,中国大陆,河北井陉话,99分钟,郑大圣,李保罗 / 吴滨 / 贾大山,李志兵 / 梁春柱 / 王春明 / 吕爱华 / 张慧娟 / 张亚豪 / 陈晨,剧情,8.0,7.3,https://www.imdb.com/title/tt7424828/,https://movie.douban.com/subject/26738204/,https://s44.playwoool.com/wp-content/uploads/2025/01/p2516300806.webp,1982年，隆冬时节，苍茫大地，人们在渴望春天的到来（包产到户）。 王支书要村里恢复演出老戏。“戏篓子”路老鹤，安排杨志刚演男主角，女儿路小芬不情愿。女儿的意中是奎疯子的儿子王树满。 在奎疯子眼里，花生是他的“图腾”。有人偷了九亩半的花生，急得他满街乱转。他发现，不止一人拿着花生去路老鹤家…… 第54届台北金马影展 (2017) 金马奖 最佳改编剧本(提名) 李保罗 第31届中国电影金鸡奖 (2017) 最佳导演(提名) 郑大圣 最佳编剧(提名) 李保罗 最佳女配角(提名) 张慧娟 最佳摄影 邵丹 第17届中国电影华表奖 (2018) 优秀农村题材影片(提名) 第1届平遥国际电影展 (2017) 影展之最单元最受欢迎影片(提名) 郑大圣 第25届北京大学生电影节 (2018) 最佳影片奖(提名) 最佳导演奖(提名) 郑大圣 最佳新人奖(提名) 李志兵 艺术探索奖(提名) 评委会大奖 标签：剧情 华语 -本片字幕下载请点这里- 全部磁力链 4K 蓝光原盘 蓝光高清 WEB-DL 字 幕 [无损音乐1T] [美剧蓝光32T] [观影APP] [115网盘优惠充值] 1080P 在线观看 直接高品质在线观看《村戏》 WEB-4K 13.9GB Bangzi.Melody.2017.2160p.HQ.WEB-DL.HEVC.AAC-ZmWeb 字 幕 https://www.samfunny.com/download/index.php?id=26738204 Copyright ©2021 音范丝|影音集 内容均采集自互联网，若侵犯您的权益请联系fanyun866#gmail.com，我们将尽快处理。 高清常识 常见问题 蓝光播放工具 点点字幕 布雷克影院 币圈中文攻略 银河碟屋 登录,,
捆绑之兽 WEB-DL版下载 2024 The Beast of the Bales 6.61G,捆绑之兽,2024,2024-11-01,英国,英语,101分钟,Phil Smalley,,Danny Badcock / Harley Badcock / Raymond Badcock / Bob Bourne / Ely Cooper / Noah Cooper / Ethan Drinkwater / Oli Drinkwater,纪录片,2024,7.2,https://www.imdb.com/title/tt33510921/,https://movie.douban.com/subject/37188083/,https://s44.playwoool.com/wp-content/uploads/2025/01/p2917155266.webp,我们每个人都有过去，一系列的事件将我们引导到我们注定要走的道路。这些大多数人不了解的经历，激发了由好奇心产生的问题。跟随戴夫·拉德福德（Dave Radford）不懈的生命旅程，揭示一位无畏斗士的真正意义——无论是在生命的斗争中，还是在捆绑的擂台上。 标签：纪录片 -本片字幕下载请点这里- 全部磁力链 4K 蓝光原盘 蓝光高清 WEB-DL 字 幕 [无损音乐1T] [美剧蓝光32T] [观影APP] [115网盘优惠充值] WEB-1080P 6.61GB The.Beast.of.the.Bales.2024.1080p.AMZN.WEB-DL.DDP2.0.H.264-FLUX 字 幕 https://www.samfunny.com/download/index.php?id=37188083 Copyright ©2021 音范丝|影音集 内容均采集自互联网，若侵犯您的权益请联系fanyun866#gmail.com，我们将尽快处理。 高清常识 常见问题 蓝光播放工具 点点字幕 布雷克影院 币圈中文攻略 银河碟屋 登录,,
枯草 蓝光原盘下载/荒草残雪(港) / 春风劲草(台) / Les herbes sèches / About Dry Grasses / Over Dry Herbs / On Barren Weeds 2023 Kuru Otlar Üstüne 43.1G,枯草/荒草残雪(港) / 春风劲草(台) / Les herbes sèches / About Dry Grasses / Over Dry Herbs / On Barren Weeds,2023,2023-05-19,土耳其 / 法国 / 德国 / 瑞典,土耳其语,197分钟,努里·比格·锡兰,埃布鲁·锡兰 / 努里·比格·锡兰 / 阿克·阿克苏,德尼兹·塞利洛格卢 / 米尔维·迪兹达尔 / 穆萨布·埃基奇 / 埃克·巴奇 / 埃尔登姆·塞诺卡克 / 于克塞·阿克苏 / 穆尼尔·坎·钦多鲁克 / Onur Berk Arslanoglu / Yildirim Gücük / 坚吉兹.博兹库尔特 / S. Emrah Özdemir / Elif Ürse / Elit Andaç Çam / Nalan Kuruçim / Ferhat Akgün / 埃莱姆·坎波拉特 / Seçkin Aydin / Turan Selçuk Yerlikaya / Abti Karatas / Vahit Yildirim,剧情,7.7,7.7,https://www.imdb.com/title/tt13231544/,https://movie.douban.com/subject/35211729/,https://s44.playwoool.com/wp-content/uploads/2025/01/p2895256968.webp,隐藏在小亚细亚的茫茫冬雪中，是看不见尽头的凄沧。小学老师萨密自比枯草，一直期待快将调职回城市的学校，但某日一封学生藏在笔记簿里写给他的情书被发现，衍生出他性骚扰学生的指控。梦想幻灭、同袍情谊恶化、其他教职员之间的窃窃私语，使得萨密临近崩溃边缘。直到遇见帮他克服难关的女老师，让这绝望的寒冬起了变化。 土耳其电影大师努里·比格·锡兰时隔四年带来新作，借人与人之间的伤痛和救赎，既自省亦警世。餐桌上一场群体与个人、抗争与妥协的意识形态思辩，更令人拍案叫绝。女主角凭此片夺得戛纳电影节最佳女演员殊荣，成为史上首位土耳其戛纳影后。,"第76届戛纳电影节 (2023)
主竞赛单元 金棕榈奖(提名) 努里·比格·锡兰
主竞赛单元 最佳女演员 米尔维·迪兹达尔",
犯罪都市4 蓝光原盘下载/犯罪都市：铁拳清算(港) / The Roundup: Punishment 2024 범죄도시4 19.23G,犯罪都市4/犯罪都市：铁拳清算(港) / The Roundup: Punishment,2024,2024-02-23,韩国,韩语 / 英语 / 菲律宾语 / 汉语普通话,110分钟,许明行,吴相浩,马东锡 / 金武烈 / 李东辉 / 朴智焕 / 李主傧 / 金敏载 / 金英熊,动作 / 惊悚 / 犯罪,6.6,6.6,https://www.imdb.com/title/tt27811040/,https://movie.douban.com/subject/36085987/,https://s44.playwoool.com/wp-content/uploads/2024/09/p2910664247.webp,「怪物刑警」马锡道（马东石 饰）这次要对抗的是规模最大的网络非法赌博组织首脑．白昌其（金武烈 饰），他是特种部队佣兵出身的恶徒；另外还要对付IT业界出身的天才CEO．张东哲（李东辉 饰）。马锡道将与华丽回归的张夷秀（朴智焕 饰）、广搜队及网络搜查队合作，展开更胜以往的扫荡行动！ 标签：动作 惊悚 日韩 犯罪 -本片字幕下载请点这里- 全部磁力链 4K 蓝光原盘 蓝光高清 WEB-DL 字 幕 [无损音乐1T] [美剧蓝光32T] [观影APP] [115网盘优惠充值] 4K 17.92GB The.Roundup.Punishment.2024.2160p.UHD.BluRay.HDR.x265.10bit.DTS-HD.MA.5.1-ParkHD 4K 25.61GB The.Roundup.Punishment.2024.2160p.BluRay.x265.10bit.DTS-WiKi 4K 25.61GB The.Roundup.Punishment.2024.2160p.BluRay.x265.10bit.DTS-CTRLHD 4K 14.89GB The.Roundup.Punishment.2024.2160p.UHD.BluRay.x265.10bit.HDR.DTS-HD.MA.5.1-SONYHD 4K 53.65GB The.Roundup.Punishment.2024.GER.BluRay.Remux.UHD.HDR10.2160p.DTS-HDMA5.1-DreamHD 4K 14.89GB The.Roundup.Punishment.2024.2160p.UHD.BluRay.x265.10bit.HDR.DTS-HD.MA.5.1-SONYHD 4K 25.61GB The.Roundup.Punishment.2024.2160p.BluRay.x265.10bit.DTS-WiKi 4K 25.61GB The.Roundup.Punishment.2024.2160p.BluRay.x265.10bit.DTS-CTRLHD 4K 17.92GB The.Roundup.Punishment.2024.2160p.UHD.BluRay.HDR.x265.10bit.DTS-HD.MA.5.1-ParkHD Remux 19.23GB The.Roundup.Punishment.2024.1080p.BluRay.Remux.AVC.TrueHD.5.1-ADE 蓝光原盘 网盘 收藏级《犯罪都市4》顶级内封中字版蓝光ISO 蓝光原盘 22.28GB The.Roundup.Punishment.2024.1080p.BluRay.AVC.TrueHD.5.1-DIY@Audies 蓝光原盘 22.28GB The.Roundup.Punishment.2024.1080p.BluRay.AVC.TrueHD.5.1-DIY@Audies 1080P 在线观看 直接在线看《犯罪都市4》-优质影院 1080P 7.78GB The.Roundup.Punishment.2024.1080p.BluRay.x265.10bit.TrueHD5.1-CTRLHD 1080P 10.87GB The.Roundup.Punishment.2024.1080p.BluRay.x264.DTS-SONYHD 1080P 10.26GB The.Roundup.Punishment.2024.1080p.BluRay.x264.TrueHD5.1-CTRLHD 1080P 5.73GB The.Roundup.Punishment.2024.1080p.BluRay.x265.10bit.DTS-SONYHD 1080P 10.87GB The.Roundup.Punishment.2024.1080p.BluRay.x264.DTS-SONYHD 1080P 5.73GB The.Roundup.Punishment.2024.1080p.BluRay.x265.10bit.DTS-SONYHD 1080P 10.26GB The.Roundup.Punishment.2024.1080p.BluRay.x264.TrueHD5.1-CTRLHD 1080P 7.78GB The.Roundup.Punishment.2024.1080p.BluRay.x265.10bit.TrueHD5.1-CTRLHD 1080P 7.78GB The.Roundup.Punishment.2024.1080p.BluRay.x265.10bit.TrueHD5.1-WiKi WEB-1080P 6.01GB The.Roundup.Punishment.2024.1080p.HamiVideo.WEB-DL.AAC2.0.H.264-DreamHD WEB-1080P 6.12GB The Roundup Punishment.2024.1080p.WEB-DL.AAC2.0.H.264-TIK.mkv WEB-1080P 2.92GB 범죄도시4.The Roundup Punishment.2024.1080p.WEB-CP.AAC2.0.H.264 -Sniper.mkv WEB-1080P 6.01GB The.Roundup.Punishment.2024.1080p.HamiVideo.WEB-DL.AAC2.0.H.264-DreamHD 字 幕 https://www.samfunny.com/download/index.php?id=36085987 ↓ ↓ ↓ 显 示 全 部 ↓ ↓ ↓ Copyright ©2021 音范丝|影音集 内容均采集自互联网，若侵犯您的权益请联系fanyun866#gmail.com，我们将尽快处理。 高清常识 常见问题 蓝光播放工具 点点字幕 布雷克影院 币圈中文攻略 银河碟屋 登录,,
怒海沉尸 蓝光原盘下载/太阳背面 / 阳光普照 / 紫色正午 / 阳光明媚 / Purple Noon 1960 Plein soleil 29.38G,怒海沉尸/太阳背面 / 阳光普照 / 紫色正午 / 阳光明媚 / Purple Noon,1960,1960-03-10,法国 / 意大利,法语 / 意大利语 / 英语,118 分钟,雷内·克莱芒,帕特里西亚·海史密斯 / 雷内·克莱芒 / 保罗·热戈夫,阿兰·德龙 / 玛丽·拉福莱 / 莫里斯·罗内 / 埃诺·克里萨 / 弗兰克·拉铁摩尔 / 比利·卡恩斯 / 阿薇·宁基 / 维维亚娜·尚特尔 / 尼里奥·贝尔纳迪 / Barbel Fanger / Lily Romanelli / Nicolas Petrov / 爱尔薇儿·珀派斯科 / 雷内·克莱芒 / Jacqueline Decaë / 保罗·穆勒 / 罗密·施耐德 / 尼诺·温杰利,剧情 / 惊悚 / 犯罪,8.0,7,https://www.imdb.com/title/tt0054189/,https://movie.douban.com/subject/1305080/,https://s44.playwoool.com/wp-content/uploads/2024/08/p2901254298.webp,汤姆（阿兰·德龙 Alain Delon 饰）是一个穷小子，最近，一桩好差事找上了门，好友菲利普（莫里斯·荣内特 Maurice Ronet 饰）的富豪父亲找到了汤姆，希望他能够替自己找回成日在外风流潇洒的儿子，作为回报，汤姆将得到价值不菲的报酬。 循着菲利普的踪迹，汤姆来到了拿布里，见到了菲利普和他的未婚妻玛奇（玛丽·拉福莱 Marie Laforêt 饰）。菲利普纸醉金迷的生活让汤姆十分羡慕，玛奇的美丽和温柔更是摄取了汤姆的心魄，一个邪恶的念头应运而生。一次出游中，汤姆设计杀死了菲利普，之后，为了掩盖罪行，汤姆又杀死了菲利普的好友。一个谎言，要用无数个谎言来掩盖，在得到了自己想要的一切后，汤姆终将面临审判。 标签：剧情 小语种 惊悚 犯罪 -本片字幕下载请点这里- 全部磁力链 4K 蓝光原盘 蓝光高清 WEB-DL 字 幕 [无损音乐1T] [美剧蓝光32T] [观影APP] [115网盘优惠充值] Remux 29.38GB Plein.soleil.AKA.Purple.Noon.1960.Criterion.1080p.Blu-ray.Remux.AVC.FLAC.1.0-UQ.mkv 1080P 15.08GB Plein.soleil.1960.BluRay.1080p.2Audio.DTS-HD.MA.1.0.x264-beAst 720P 4.37GB Purple.Noon.1960.720p.BluRay.x264-GECKOS 720P 6.97GB Plein.soleil.1960.BluRay.720p.DTS.x264-beAst 1080P 8.7GB Purple.Noon.1960.CC.1080p.BluRay.x265.10bit.FLAC.1.0-SONYHD 1080P 13.01GB Purple.Noon.1960.CC.1080p.BluRay.x264.FLAC.1.0-SONYHD 1080P 7.65GB Purple.Noon.1960.1080p.BluRay.x264-GECKOS 字 幕 https://www.samfunny.com/download/index.php?id=1305080 Copyright ©2021 音范丝|影音集 内容均采集自互联网，若侵犯您的权益请联系fanyun866#gmail.com，我们将尽快处理。 高清常识 常见问题 蓝光播放工具 点点字幕 布雷克影院 币圈中文攻略 银河碟屋 登录,,
喜马拉雅之灵 WEB-DL版下载 2017 The Soul of Himalaya 18.3G,The Soul of Himalaya,2017,2023-11-17,中国大陆,汉语普通话,100分钟,曾云辉 YunhuiI Zeng,曾云辉 YunhuiI Zeng,,剧情,6.5,7.8,,,https://s44.playwoool.com/wp-content/uploads/2024/05/p2900775324.webp,神秘的珞巴人世居喜马拉雅原始森林，与世隔绝，一场瘟疫将部落推向灭族边缘。猎手达玛另岽为解救族人，不顾族人的反对和巫师的神谕，出走部落寻找“生命之泉”，在藏地历尽路途险恶和猛兽攻击，身处险境遭遇重创， 同样面临生死考验。 标签：剧情 华语 -本片字幕下载请点这里- 全部磁力链 4K 蓝光原盘 蓝光高清 WEB-DL 字 幕 [无损音乐1T] [美剧蓝光32T] [观影APP] [115网盘优惠充值] WEB-4K 14.79GB The.Soul.of.Himalaya.2017.2160p.HQ.WEB-DL.H265.DTS5.1-DreamHD WEB-4K 18.34GB The.Soul.of.Himalaya.2017.2160p.HQ.WEB-DL.H265.60fps.DTS5.1-DreamHD WEB-1080P 2.09GB The.Soul.of.Himalaya.2017.1080p.WEB-DL.H264.DTS5.1-DreamHD 字 幕 https://www.samfunny.com/download/index.php?id=27063330 Copyright ©2021 音范丝|影音集 内容均采集自互联网，若侵犯您的权益请联系fanyun866#gmail.com，我们将尽快处理。 高清常识 常见问题 蓝光播放工具 点点字幕 布雷克影院 币圈中文攻略 银河碟屋 登录,,
飞鸭向前冲 WEB-DL版下载/鸭仔也移民(港) 2023 Migration 12.43G,飞鸭向前冲/鸭仔也移民(港),2023,2023-12-08,"美国,法国,加拿大",英语,82分钟,本杰明·雷内 Benjamin Renner / 盖洛·霍姆西 Guylo Homsy,本杰明·雷内 Benjamin Renner / 麦克·怀特 Mike White,库梅尔·南贾尼 Kumail Nanjiani,喜剧 / 动作 / 动画 / 奇幻 / 冒险,7.6,6.8,https://www.imdb.com/title/tt6495056/,https://movie.douban.com/subject/36086942/,https://s44.playwoool.com/wp-content/uploads/2024/01/p2901688017.webp,飞鸭马拉德一家向南迁徙前往热带的牙买加，却意外闯入疯狂大都市纽约？在紧张刺激的飞行之旅中，他们将如何化险为夷？ 标签：冒险 动作 动画 喜剧 奇幻 -本片字幕下载请点这里- 全部磁力链 4K 蓝光原盘 蓝光高清 WEB-DL 字 幕 [无损音乐1T] [美剧蓝光32T] [观影APP] [115网盘优惠充值] WEB-4K 14.4GB Migration.2023.2160p.WEB-DL.DDP5.1.Atmos.DV.HDR.H.265-FLUX 4K 51.6GB Migration.2023.2160p.UHD.BluRay.REMUX.DV.HDR.HEVC.Atmos-TRiToN.mkv WEB-4K 10.08GB Migration.2023.2160p.WEB-DL.DDP5.1.Atmos.SDR.H265-AOC 4K 12.43GB Migration.2023.2160p.WEB.h265-ETHEL 4K 10.04GB Migration.2023.UHD.BluRay.2160p.HEVC.Atmos.TrueHD.7.1-PANAM 4K 15.9GB Migration.2023.Hybrid.2160p.UHD.BluRay.DV.HDR10+.DDP.Atmos.7.1.x265-BiTOR 4K 17.57GB Migration.2023.2160p.BluRay.DoVi.x265.10bit.Atmos.TrueHD7.1-CTRLHD 4K 10.04GB Migration.2023.UHD.BluRay.2160p.HEVC.Atmos.TrueHD.7.1-PANAM 4K 15.9GB Migration.2023.Hybrid.2160p.UHD.BluRay.DV.HDR10+.DDP.Atmos.7.1.x265-BiTOR 4K 51.6GB Migration.2023.2160p.UHD.BluRay.REMUX.DV.HDR.HEVC.Atmos-TRiToN.mkv 4K 14.4GB Migration.2023.2160p.WEB-DL.DDP5.1.Atmos.DV.HDR.H.265-FLUX 4K 10.08GB Migration.2023.2160p.WEB-DL.DDP5.1.Atmos.SDR.H265-AOC 4K 12.43GB Migration.2023.2160p.WEB.h265-ETHEL 4K 13.79GB Migration.2023.2160p.UHD.BluRay.x265.10bit.DV.TrueHD.7.1.Atmos.2Audio-SONYHD 4K 17.16GB Migration.2023.2160p.HQ.WEB-DL.H265.60fps.DDP5.1.2Audio-DreamHD 4K 13.91GB Migration.2023.2160p.HQ.WEB-DL.H265.DDP5.1.2Audio-DreamHD Remux 20.97GB Migration.2023.BluRay.Remux.AVC.1080p.Atmos.TrueHD7.1-DreamHD 蓝光原盘 网盘 收藏级《飞鸭向前冲》顶级内封中字版蓝光ISO 蓝光原盘 38.57GB Migration.2023.BluRay.1080p.AVC.Atmos.TrueHD7.1-MTeam 蓝光原盘 38.57GB Migration.2023.BluRay.1080p.AVC.Atmos.TrueHD7.1-MTeam 1080P 10.98GB Migration.2023.BluRay.1080p.TrueHD.7.1.x264-MTeam 1080P 5.09GB Migration.2023.Hybrid.1080p.BluRay.DDP.7.1.x264-WiNHD 1080P 9.97GB Migration.2023.1080p.BluRay.x264.DTS.2Audio-ADE 1080P 12.23GB Migration.2023.1080p.BluRay.x264-eXterminator_EniaHD.mkv 1080P 6.8GB Migration.2023.1080p.BluRay.x265.10bit.Atmos.TrueHD7.1-CTRLHD 1080P 9.45GB Migration.2023.1080p.BluRay.x264.Atmos.TrueHD7.1-CTRLHD 1080P 9.45GB Migration.2023.1080p.BluRay.x264.Atmos.TrueHD7.1-WiKi 1080P 9.97GB Migration.2023.1080p.BluRay.x264.DTS.2Audio-ADE 1080P 10.98GB Migration.2023.BluRay.1080p.TrueHD.7.1.x264-MTeam 1080P 5.09GB Migration.2023.Hybrid.1080p.BluRay.DDP.7.1.x264-WiNHD 1080P 4.49GB Migration.2023.1080p.BluRay.x265.10bit.DTS.2Audio-SONYHD 1080P 9.97GB Migration.2023.1080p.BluRay.x264.DTS.2Audio-SONYHD 1080P 2.39GB Migration.2023.BluRay.1080p.AAC2.0.x264-DreamHD 1080P 6.83GB Migration.2023.V2.BluRay.1080p.TrueHD7.1.x264-DreamHD 1080P 4.85GB Migration.2023.V2.BluRay.1080p.TrueHD7.1.x265.10bit-DreamHD WEB-1080P 5.03GB Migration.2023.1080p.WEB-DL.DDP5.1.Atmos.H.264-FLUX WEB-1080P 5.03GB Migration.2023.1080p.WEB-DL.DDP5.1.Atmos.H.264-FLUX 字 幕 https://www.samfunny.com/download/index.php?id=36086942 ↓ ↓ ↓ 显 示 全 部 ↓ ↓ ↓ Copyright ©2021 音范丝|影音集 内容均采集自互联网，若侵犯您的权益请联系fanyun866#gmail.com，我们将尽快处理。 高清常识 常见问题 蓝光播放工具 点点字幕 布雷克影院 币圈中文攻略 银河碟屋 登录,,
"女服务员 WEB-DL版下载/Waitress, the Musical – Live on Broadway! 2023 Waitress 15.3G","女服务员/Waitress, the Musical – Live on Broadway!",2023,2023-06-12,美国,英语,144分钟,黛安·鲍鲁斯 Diane Paulus / 布雷特·沙利文 Brett Sullivan,杰茜·尼尔森 Jessie Nelson / 安德林妮·夏莉 Adrienne Shelly,莎拉·巴莱勒斯 Sara Bareilles,剧情 / 喜剧 / 歌舞,2023,8.4,https://www.imdb.com/title/tt15477042/,https://movie.douban.com/subject/36430245/,https://s44.playwoool.com/wp-content/uploads/2024/01/p2901827042.webp,音乐剧《女服务员》 是一个温馨的故事，讲述了一名馅饼师和女服务员珍娜·亨特森（莎拉·巴莱勒斯 Sara Bareilles 饰）的生活，在小镇上经历了一段不美满的婚姻后，珍娜在烘焙中找到了慰藉，并梦想赢得附近城市的烘焙比赛，以摆脱平凡的生活。 标签：剧情 喜剧 歌舞 -本片字幕下载请点这里- 全部磁力链 4K 蓝光原盘 蓝光高清 WEB-DL 字 幕 [无损音乐1T] [美剧蓝光32T] [观影APP] [115网盘优惠充值] WEB-4K 15.3GB Waitress.The.Musical.2023.2160p.AMZN.WEB-DL.DDP5.1.H.265-FLUX WEB-1080P 9.65GB Waitress.The.Musical.2023.1080p.AMZN.WEB-DL.DDP5.1.H.264-FLUX WEB-1080P 7.09GB Waitress.The.Musical.2023.1080p.WEB.h264-EDITH.mkv WEB-1080P 2.98GB Waitress.The.Musical.2023.1080p.AMZN.WEBRip.DDP5.1.x265.10bit-GalaxyRG265 字 幕 https://www.samfunny.com/download/index.php?id=36430245 Copyright ©2021 音范丝|影音集 内容均采集自互联网，若侵犯您的权益请联系fanyun866#gmail.com，我们将尽快处理。 高清常识 常见问题 蓝光播放工具 点点字幕 布雷克影院 币圈中文攻略 银河碟屋 登录,,
怪物 WEB-DL版下载/Kaibutsu/Monster 2023 怪物 4.52G,Kaibutsu/Monster,2023,2023-05-17,日本,日语,125分钟,是枝裕和 Hirokazu Koreeda,坂元裕二 Yûji Sakamoto,安藤樱 Sakura Andô,剧情,8.7,8,https://www.imdb.com/title/tt23736044/,https://movie.douban.com/subject/35797709/,https://s44.playwoool.com/wp-content/uploads/2024/01/p2902210211.webp,平静的湖畔小镇，疼爱儿子的单亲妈妈早织（安藤樱 饰）、为学生着想的爽直老师保利 （永山瑛太 饰）以及天真烂漫的孩子们本过着安稳的生活，却因为一次校园冲突，发酵酿成轩然大波，惹起社会与媒体的关注。当事态越见严重，竟在一个暴风雨的清晨，两个孩子双双失去了踪影……,"第76届戛纳电影节 (2023)
主竞赛单元金棕榈奖(提名) 是枝裕和
主竞赛单元最佳编剧 坂元裕二
酷儿棕榈奖长片酷儿棕榈奖 是枝裕和
第26届英国独立电影奖 (2023)
最佳外国独立电影(提名)",
